Part,Aid type,Amount type,Recipient,Donor,Year,Value,Flags
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2003",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2004",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2005",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2006",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2007",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2008",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2009",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2010",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2011",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2012",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",0,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2003",3.54,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2004",5.1,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2005",4.18,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2006",4.18,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2007",2.54,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2008",2.18,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2009",7.29,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2010",9.16,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2011",10.02,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Australia","2012",10.95,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",7.78,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",9.53,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",7.22,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",6.96,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",3.66,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",2.99,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",10.54,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",10.68,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",9.99,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",10.95,
"1 : Part I - Developing Countries","Development Food Aid","Current Prices (USD millions)","Sri Lanka","Australia","2004",4.57,
"1 : Part I - Developing Countries","Development Food Aid","Current Prices (USD millions)","Sri Lanka","Australia","2005",19.36,
"1 : Part I - Developing Countries","Development Food Aid","Current Prices (USD millions)","Sri Lanka","Australia","2007",5.02,
"1 : Part I - Developing Countries","Development Food Aid","Current Prices (USD millions)","Sri Lanka","Australia","2009",3.36,
"1 : Part I - Developing Countries","Development Food Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",8.54,
"1 : Part I - Developing Countries","Development Food Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",33.45,
"1 : Part I - Developing Countries","Development Food Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",7.23,
"1 : Part I - Developing Countries","Development Food Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",4.86,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2003",0.65,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2004",4.38,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2005",12.81,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2006",6.32,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2007",5.57,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2008",11.6,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2009",25.48,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2010",18.54,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2011",14.06,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Australia","2012",1.92,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",1.43,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",8.18,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",22.13,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",10.52,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",8.02,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",15.9,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",36.84,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",21.61,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",14.02,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",1.92,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2003",14.13,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2004",10.35,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2005",5.9,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2006",8.18,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2007",9.94,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2008",4.97,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2009",6.14,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2010",8.83,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2011",9.82,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Australia","2012",8.59,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",31.06,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",19.34,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",10.19,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",13.61,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",14.32,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",6.81,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",8.88,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",10.29,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",9.79,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",8.59,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2003",6.31,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2004",18.93,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2005",43.27,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2006",22.96,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2007",17.62,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2008",21.96,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2009",43.58,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2010",61.22,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2011",58.22,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",13.87,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",35.37,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",74.75,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",38.21,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",25.38,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",30.1,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",63.01,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",71.35,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",58.04,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2003",6.31,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2004",18.93,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2005",43.27,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2006",22.85,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2007",17.62,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2008",21.96,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2009",43.58,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2010",61.22,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2011",58.22,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",13.87,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",35.37,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",74.75,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",38.03,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",25.38,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",30.1,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",63.01,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",71.35,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",58.04,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Memo: Net debt relief","Current Prices (USD millions)","Sri Lanka","Australia","2006",0.11,
"1 : Part I - Developing Countries","Memo: Net debt relief","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",0.18,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2003",0.33,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2004",0.97,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2005",2.2,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2006",1.16,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2007",0.88,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2008",1.09,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2009",2.13,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2010",2.96,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2011",2.79,
"1 : Part I - Developing Countries","ODA per Capita ($)","Current Prices (USD millions)","Sri Lanka","Australia","2012",2.17,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2003",0.03,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2004",0.09,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2005",0.18,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2006",0.08,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2007",0.06,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2008",0.06,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2009",0.11,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2010",0.13,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2011",0.1,
"1 : Part I - Developing Countries","ODA as % GNI (Recipient)","Current Prices (USD millions)","Sri Lanka","Australia","2012",0.08,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2003",0.43,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2004",0.22,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2005",9.78,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2006",5.72,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2007",3.97,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2008",5,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2009",2.21,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2010",1.58,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2011",1.14,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Austria","2012",0.28,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2003",0.57,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2004",0.26,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2005",11.44,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2006",6.5,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2007",4.06,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2008",4.77,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2009",2.15,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2010",1.59,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2011",1.07,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2012",0.28,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2003",0.43,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2004",0.22,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2005",9.78,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2006",5.72,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2007",3.97,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2008",5,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2009",2.21,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2010",1.58,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2011",1.2,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Austria","2012",0.28,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2003",0.57,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2004",0.26,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2005",11.44,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2006",6.5,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2007",4.06,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2008",4.77,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2009",2.15,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2010",1.59,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2011",1.13,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Austria","2012",0.28,
